trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-77.26289130848173,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-111.54843721837388,"{0: 12, 1: 3, 2: 9, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-131.26466373883366,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-52.1440744337832,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,4,-88.23888837367596,"{0: 9, 1: 1, 2: 5, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-51.03457679369164,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-119.08724422454456,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-74.00689816374803,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-49.30260084565776,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-25.526167803960345,"{0: 13, 1: 6, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,3.9898469389468225,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-96.30436923273139,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,2,-158.94474031410303,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 4}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-83.33956394780867,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-42.877654634628236,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,8,-1.2025470472265987,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,18,19.370363060207893,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-45.82346038972394,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,14,4.238834909019253,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.0}",20,0,30.898892495670637,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,8,-9.579549465469674,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,0,9.469191257332913,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,4,20.5329394271124,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",30,18,-23.669448861278607,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-16.756283628966624,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",30,2,-15.025814424245223,"{0: 25, 1: 1, 2: 0, 3: 2, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,3,21.762267876896416,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,10,-29.51886410197101,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,10,6.470404529668894,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,8,-3.213795892655434,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
11,True,"{'a': 0.0, 'e': 0.0}",20,15,8.816987040334968,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0.0, 'e': 0.0}",25,0,-91.76578491175759,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 3}",0
13,True,"{'a': 0.0, 'e': 0.0}",20,0,-55.457505659849375,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
14,True,"{'a': 0.0, 'e': 0.0}",20,0,-44.40994367783219,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
15,True,"{'a': 0.0, 'e': 0.0}",30,0,28.69943265386355,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
16,True,"{'a': 0.0, 'e': 0.0}",20,5,16.321883004016723,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,True,"{'a': 0.0, 'e': 0.0}",20,9,-21.413657653170617,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,True,"{'a': 0.0, 'e': 0.0}",25,9,29.081484523397563,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0.0, 'e': 0.0}",25,8,-26.269675498281917,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
20,True,"{'a': 0.0, 'e': 0.0}",25,17,15.792519001927802,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0.0, 'e': 0.0}",25,18,1.0760941295645816,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
22,True,"{'a': 0.0, 'e': 0.0}",20,10,-4.196394948374976,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0.0, 'e': 0.0}",20,15,10.365115779091523,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0.0, 'e': 0.0}",25,0,-143.00718601364642,"{0: 19, 1: 0, 2: 1, 3: 2, 4: 3}",0
25,True,"{'a': 0.0, 'e': 0.0}",25,0,-39.91677014402918,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
26,True,"{'a': 0.0, 'e': 0.0}",20,1,-34.10359167231382,"{0: 14, 1: 4, 2: 0, 3: 0, 4: 1}",1
27,True,"{'a': 0.0, 'e': 0.0}",20,0,-67.33020830276284,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
28,True,"{'a': 0.0, 'e': 0.0}",25,0,11.23496364647344,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
29,True,"{'a': 0.0, 'e': 0.0}",35,13,-35.78888062608223,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 0}",1
30,True,"{'a': 0.0, 'e': 0.0}",25,0,-188.77441765486915,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 5}",0
31,True,"{'a': 0.0, 'e': 0.0}",25,0,30.075349843496262,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,True,"{'a': 0.0, 'e': 0.0}",20,0,8.933010242155223,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
33,True,"{'a': 0.0, 'e': 0.0}",25,9,-18.52032571724592,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
34,True,"{'a': 0.0, 'e': 0.0}",25,11,-37.15579912270728,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
35,True,"{'a': 0.0, 'e': 0.0}",25,0,3.8930574239295392,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
36,True,"{'a': 0.0, 'e': 0.0}",30,12,0.8505606111042581,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
37,True,"{'a': 0.0, 'e': 0.0}",30,18,18.311479389564546,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,True,"{'a': 0.0, 'e': 0.0}",25,0,-101.69182523136331,"{0: 20, 1: 0, 2: 1, 3: 2, 4: 2}",0
39,True,"{'a': 0.0, 'e': 0.0}",20,0,-115.23108443910593,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
40,True,"{'a': 0.0, 'e': 0.0}",25,0,-59.95925208180038,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
41,True,"{'a': 0.0, 'e': 0.0}",20,8,-17.976632872118163,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
42,True,"{'a': 0.0, 'e': 0.0}",30,16,-18.823673896137088,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
43,True,"{'a': 0.0, 'e': 0.0}",20,0,9.981345118060736,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
44,True,"{'a': 0.0, 'e': 0.0}",25,5,20.721143753957612,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
45,True,"{'a': 0.0, 'e': 0.0}",30,0,-86.1671179945597,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 3}",0
46,True,"{'a': 0.0, 'e': 0.0}",20,0,-54.031977007424835,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
47,True,"{'a': 0.0, 'e': 0.0}",25,0,-15.718812696717762,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
48,True,"{'a': 0.0, 'e': 0.0}",25,0,26.808590271673076,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
49,True,"{'a': 0.0, 'e': 0.0}",20,0,8.729017260498658,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
50,True,"{'a': 0.0, 'e': 0.0}",20,0,10.371222061391387,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
