trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9985011244377109}",25,0,-175.49280468402873,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.997004495503373}",20,0,-75.04736451916692,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9955101098295706}",25,0,-154.18191128410209,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9940179640539353}",20,0,-83.65457464940816,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9925280548191384}",25,0,-42.25080913375115,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9910403787728836}",20,0,-53.680481869082996,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9895549325678993}",35,0,-178.116706850548,"{0: 23, 1: 3, 2: 5, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9880717128619305}",20,0,-67.71201780958987,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9865907163177327}",25,0,-111.58377405796132,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9851119396030626}",20,0,-70.35475606261632,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9836353793906724}",35,0,-116.53418333853931,"{0: 25, 1: 4, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9821610323583008}",30,0,-164.718868487949,"{0: 20, 1: 4, 2: 2, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9806888951886662}",25,0,-150.78452820529233,"{0: 14, 1: 5, 2: 2, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9792189645694596}",25,0,-139.90121530819636,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.9777512371933363}",20,0,-130.20110442923217,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9762857097579093}",25,0,-66.45550208001987,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9748223789657411}",30,15,-46.89942849338981,"{0: 9, 1: 0, 2: 6, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.9733612415243368}",20,0,-34.165567137943945,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9719022941461366}",25,0,-144.51279222921744,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-75.66055946583964,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9689909564537397}",20,0,-144.16315475175247,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.967538559589032}",20,0,-81.14898401591363,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.9660883396864915}",30,0,-114.57334366040804,"{0: 16, 1: 2, 2: 12, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.9646402934831231}",30,0,-195.3033825831936,"{0: 16, 1: 4, 2: 5, 3: 3, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.9631944177208218}",25,0,-123.5782601577427,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.9617507091463667}",25,0,-106.2720135812655,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.960309164511413}",25,0,-142.4687140291777,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.9588697805724845}",25,0,-76.34341283198522,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.957432554090967}",20,0,-28.14262929605085,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.9559974818331}",20,0,-79.80269792892328,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.9545645605699703}",20,0,-73.87581813386231,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9531337870775047}",20,0,-135.7266343328005,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.9517051581364622}",20,0,-136.02531497124372,"{0: 8, 1: 4, 2: 5, 3: 2, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.950278670532427}",25,0,-179.01818540006195,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
35,False,"{'a': 0.5, 'e': 0.9488543210558013}",20,0,-50.21286463985272,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.9474321065017983}",20,0,-148.7387222149368,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.9460120236704347}",20,0,-124.2490108727172,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.9445940693665233}",30,0,-87.30658732657986,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.9431782403996666}",20,0,-16.062941578954515,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-81.65977476327505,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.9403529457394286}",20,0,-88.31449549059188,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.9389434736891332}",20,0,-78.32709385364124,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.9375361142620497}",25,0,-139.94583326156652,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.9361308642916188}",30,0,-122.94596274203695,"{0: 20, 1: 5, 2: 2, 3: 1, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.9347277206160275}",25,0,-120.55967898629292,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.933326680078202}",20,0,-66.0290377279875,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.9319277395258003}",20,0,-51.20222776079598,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.9305308958112057}",30,0,-134.37461857186307,"{0: 21, 1: 4, 2: 2, 3: 0, 4: 3}",0
49,False,"{'a': 0.5, 'e': 0.9291361457915193}",25,16,-64.16552496939761,"{0: 5, 1: 2, 2: 0, 3: 1, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.9277434863285529}",30,0,-82.44472430806857,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.9263529142888222}",20,0,-160.01371876889993,"{0: 11, 1: 1, 2: 3, 3: 3, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.9249644265435393}",20,0,-120.88717030393927,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.9235780199686064}",25,0,-176.63821847060592,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.922193691444608}",25,0,-70.46822024581896,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.9208114378568045}",30,0,-195.6999111527153,"{0: 15, 1: 4, 2: 7, 3: 2, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.9194312560951247}",30,0,-131.30405563735005,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.9180531430541589}",30,0,-68.66297663593433,"{0: 19, 1: 5, 2: 5, 3: 1, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.9166770956331523}",20,2,-147.3723478030225,"{0: 8, 1: 1, 2: 7, 3: 0, 4: 2}",1
59,False,"{'a': 0.5, 'e': 0.9153031107359976}",25,2,-153.615950252054,"{0: 10, 1: 4, 2: 7, 3: 0, 4: 2}",1
60,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-51.9951610855771,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.9125613161520112}",30,0,-139.3577081572176,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.9111935002961405}",25,2,11.34601012582837,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.90982773462603}",20,0,-166.54515271766803,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
64,False,"{'a': 0.5, 'e': 0.9084640160687062}",30,0,-154.78331009348435,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
