trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.22863767308748,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.5468652907899,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.22689115616004,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.72622661292993,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,13,-42.53728474604329,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.4736662784583,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.07655036321296,"{0: 11, 1: 5, 2: 8, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.6539150673739,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.84964938531718,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,1,-126.08541945770013,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 2}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.89325344588579,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-171.57670048904373,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.19066439066457,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.00770618784864,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-192.02390582241625,"{0: 14, 1: 5, 2: 2, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.1538321173854,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-69.41533026330467,"{0: 22, 1: 8, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.2964769257679,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,1,-98.59223631304206,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,7,-107.06004676249573,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-168.25959881818486,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-122.02430143419129,"{0: 17, 1: 8, 2: 2, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-95.6707964088614,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-58.13886506281161,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.4496520836636,"{0: 8, 1: 5, 2: 6, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,4,-37.29152744128027,"{0: 18, 1: 4, 2: 4, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-76.40456364632352,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-223.3124075933339,"{0: 22, 1: 0, 2: 9, 3: 0, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-71.36431888489189,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-115.41422365033871,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
